0.970336 -0.242816 0.000000	-0.969750 0.243359 0.000000	-0.000586 -0.000543 0.000000	
0.970628 -0.242544 0.000000	-0.969457 0.243631 0.000000	-0.001172 -0.001087 0.000000	
0.970920 -0.242272 0.000000	-0.969163 0.243902 0.000000	-0.001758 -0.001630 0.000000	
0.971211 -0.242000 0.000000	-0.968868 0.244173 0.000000	-0.002343 -0.002173 0.000000	
0.971502 -0.241728 0.000000	-0.968573 0.244444 0.000000	-0.002929 -0.002717 0.000000	
0.971793 -0.241455 0.000000	-0.968277 0.244715 0.000000	-0.003515 -0.003260 0.000000	
0.972082 -0.241183 0.000000	-0.967981 0.244986 0.000000	-0.004101 -0.003803 0.000000	
0.972372 -0.240910 0.000000	-0.967685 0.245257 0.000000	-0.004687 -0.004347 0.000000	
0.972661 -0.240638 0.000000	-0.967388 0.245528 0.000000	-0.005273 -0.004890 0.000000	
0.972949 -0.240365 0.000000	-0.967090 0.245798 0.000000	-0.005859 -0.005433 0.000000	
0.973237 -0.240092 0.000000	-0.966792 0.246068 0.000000	-0.006445 -0.005976 0.000000	
0.973524 -0.239819 0.000000	-0.966494 0.246339 0.000000	-0.007030 -0.006520 0.000000	
0.973811 -0.239546 0.000000	-0.966195 0.246609 0.000000	-0.007616 -0.007063 0.000000	
0.974098 -0.239273 0.000000	-0.965896 0.246879 0.000000	-0.008202 -0.007606 0.000000	
0.974384 -0.238999 0.000000	-0.965596 0.247149 0.000000	-0.008788 -0.008149 0.000000	
0.974669 -0.238726 0.000000	-0.965295 0.247418 0.000000	-0.009374 -0.008693 0.000000	
0.974954 -0.238452 0.000000	-0.964994 0.247688 0.000000	-0.009960 -0.009236 0.000000	
0.975239 -0.238179 0.000000	-0.964693 0.247958 0.000000	-0.010546 -0.009779 0.000000	
0.975523 -0.237905 0.000000	-0.964391 0.248227 0.000000	-0.011132 -0.010322 0.000000	
0.975807 -0.237631 0.000000	-0.964089 0.248496 0.000000	-0.011718 -0.010865 0.000000	
0.976090 -0.237357 0.000000	-0.963786 0.248765 0.000000	-0.012304 -0.011408 0.000000	
0.976373 -0.237083 0.000000	-0.963483 0.249034 0.000000	-0.012890 -0.011951 0.000000	
0.976655 -0.236809 0.000000	-0.963179 0.249303 0.000000	-0.013476 -0.012494 0.000000	
0.976937 -0.236534 0.000000	-0.962875 0.249572 0.000000	-0.014062 -0.013037 0.000000	
0.977218 -0.236260 0.000000	-0.962570 0.249840 0.000000	-0.014648 -0.013581 0.000000	
0.977499 -0.235985 0.000000	-0.962265 0.250109 0.000000	-0.015234 -0.014124 0.000000	
0.977779 -0.235711 0.000000	-0.961959 0.250377 0.000000	-0.015821 -0.014666 0.000000	
0.978059 -0.235436 0.000000	-0.961653 0.250645 0.000000	-0.016407 -0.015209 0.000000	
0.978339 -0.235161 0.000000	-0.961346 0.250913 0.000000	-0.016993 -0.015752 0.000000	
0.978618 -0.234886 0.000000	-0.961039 0.251181 0.000000	-0.017579 -0.016295 0.000000	
0.978896 -0.234611 0.000000	-0.960731 0.251449 0.000000	-0.018165 -0.016838 0.000000	
0.979174 -0.234336 0.000000	-0.960423 0.251716 0.000000	-0.018752 -0.017381 0.000000	
0.979452 -0.234060 0.000000	-0.960114 0.251984 0.000000	-0.019338 -0.017924 0.000000	
0.979729 -0.233785 0.000000	-0.959805 0.252251 0.000000	-0.019924 -0.018466 0.000000	
0.980006 -0.233509 0.000000	-0.959495 0.252519 0.000000	-0.020510 -0.019009 0.000000	
